# BUSCO version is: 5.2.1 
# The lineage dataset is: vertebrata_odb10 (Creation date: 2021-02-19, number of genomes: 67, number of BUSCOs: 3354)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
173at7742	Complete	LR744037.1	135856450	136664573	-	6802.5	5155	https://www.orthodb.org/v10?query=173at7742	G-protein coupled receptor 98
476at7742	Complete	LR744045.1	120331790	120538887	-	7201.5	4251	https://www.orthodb.org/v10?query=476at7742	Ubiquitin protein ligase E3 component n-recognin 4
817at7742	Complete	LR744043.1	143726933	143938044	+	6832.8	3778	https://www.orthodb.org/v10?query=817at7742	E3 ubiquitin-protein ligase MYCBP2 isoform X1
903at7742	Complete	LR744043.1	52126078	52178918	+	6715.1	3803	https://www.orthodb.org/v10?query=903at7742	sacsin
1034at7742	Complete	LR744045.1	112370832	112621798	+	5789.8	3472	https://www.orthodb.org/v10?query=1034at7742	Vacuolar protein sorting 13 homolog D
1270at7742	Complete	LR744030.1	24174655	24545995	-	7341.2	3901	https://www.orthodb.org/v10?query=1270at7742	probable E3 ubiquitin-protein ligase HECTD4
1566at7742	Complete	LR744034.1	167872578	168333760	-	4113.4	3017	https://www.orthodb.org/v10?query=1566at7742	cubilin
1653at7742	Complete	LR744044.1	23163193	23375789	-	6558.7	3233	https://www.orthodb.org/v10?query=1653at7742	transformation/transcription domain-associated protein
1662at7742	Complete	LR744040.1	142276590	142690627	-	5052.2	2888	https://www.orthodb.org/v10?query=1662at7742	reelin
2066at7742	Complete	LR744044.1	2174284	2315968	+	5231.5	3009	https://www.orthodb.org/v10?query=2066at7742	serine/threonine-protein kinase SMG1
2178at7742	Complete	LR744033.1	30280208	30577313	+	3813.0	2633	https://www.orthodb.org/v10?query=2178at7742	protein SZT2
2461at7742	Complete	LR744030.1	229158339	229432391	+	4988.2	2639	https://www.orthodb.org/v10?query=2461at7742	ubiquitin carboxyl-terminal hydrolase 34
2503at7742	Complete	LR744035.1	180160617	180447943	+	4673.8	2922	https://www.orthodb.org/v10?query=2503at7742	lysosomal-trafficking regulator
2845at7742	Complete	LR744040.1	100325386	100769974	-	1613.9	1731	https://www.orthodb.org/v10?query=2845at7742	cilia- and flagella-associated protein 54
3022at7742	Complete	LR744037.1	187829228	188047220	-	4274.8	2463	https://www.orthodb.org/v10?query=3022at7742	huntingtin
3190at7742	Complete	LR744041.1	103373208	103743541	-	3234.2	2205	https://www.orthodb.org/v10?query=3190at7742	zinc finger ZZ-type and EF-hand domain-containing protein 1
3764at7742	Complete	LR744033.1	96382686	96510907	+	2960.5	3072	https://www.orthodb.org/v10?query=3764at7742	abnormal spindle-like microcephaly-associated protein
4106at7742	Complete	LR744045.1	106268511	106582431	-	4261.8	2134	https://www.orthodb.org/v10?query=4106at7742	serine/threonine-protein kinase mTOR
4372at7742	Complete	LR744042.1	138578347	138686123	-	3164.9	2061	https://www.orthodb.org/v10?query=4372at7742	serine/threonine-protein kinase ATR
4443at7742	Complete	LR744030.1	73055231	73210273	-	3513.1	2230	https://www.orthodb.org/v10?query=4443at7742	translational activator GCN1
4577at7742	Complete	LR744041.1	133745049	133784799	+	4904.1	2118	https://www.orthodb.org/v10?query=4577at7742	pre-mRNA-processing-splicing factor 8
4900at7742	Complete	LR744041.1	5537801	5747018	-	1898.6	1711	https://www.orthodb.org/v10?query=4900at7742	spatacsin
5018at7742	Complete	LR744032.1	82654756	82885303	+	2707.1	1881	https://www.orthodb.org/v10?query=5018at7742	ectopic P granules protein 5 homolog
5095at7742	Complete	LR744033.1	37337862	37491929	-	3710.4	2078	https://www.orthodb.org/v10?query=5095at7742	ubiquitin carboxyl-terminal hydrolase 24
