# BUSCO version is: 5.2.1 
# The lineage dataset is: vertebrata_odb10 (Creation date: 2021-02-19, number of genomes: 67, number of BUSCOs: 3354)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
173at7742	Complete	XP_043920117.1	7251.5	5216	https://www.orthodb.org/v10?query=173at7742	G-protein coupled receptor 98
476at7742	Complete	XP_043943008.1	8065.1	4085	https://www.orthodb.org/v10?query=476at7742	Ubiquitin protein ligase E3 component n-recognin 4
817at7742	Complete	XP_043928839.1	8018.9	3944	https://www.orthodb.org/v10?query=817at7742	E3 ubiquitin-protein ligase MYCBP2 isoform X1
903at7742	Complete	XP_043926906.1	6842.0	3923	https://www.orthodb.org/v10?query=903at7742	sacsin
1034at7742	Complete	XP_043916363.1	5904.3	3436	https://www.orthodb.org/v10?query=1034at7742	Vacuolar protein sorting 13 homolog D
1270at7742	Duplicated	XP_043924357.1	8015.4	3980	https://www.orthodb.org/v10?query=1270at7742	probable E3 ubiquitin-protein ligase HECTD4
1270at7742	Duplicated	XP_043924358.1	8005.0	3980	https://www.orthodb.org/v10?query=1270at7742	probable E3 ubiquitin-protein ligase HECTD4
1566at7742	Complete	XP_043916230.1	4883.4	3137	https://www.orthodb.org/v10?query=1566at7742	cubilin
1653at7742	Complete	XP_043945632.1	6992.9	3287	https://www.orthodb.org/v10?query=1653at7742	transformation/transcription domain-associated protein
1662at7742	Duplicated	XP_043944460.1	5569.5	2930	https://www.orthodb.org/v10?query=1662at7742	reelin
1662at7742	Duplicated	XP_043944459.1	5562.3	2930	https://www.orthodb.org/v10?query=1662at7742	reelin
1662at7742	Duplicated	XP_043944457.1	5520.9	2917	https://www.orthodb.org/v10?query=1662at7742	reelin
1662at7742	Duplicated	XP_043944458.1	5520.9	2917	https://www.orthodb.org/v10?query=1662at7742	reelin
2066at7742	Complete	XP_043946465.1	5473.3	2982	https://www.orthodb.org/v10?query=2066at7742	serine/threonine-protein kinase SMG1
2178at7742	Duplicated	XP_043941348.1	4133.5	2608	https://www.orthodb.org/v10?query=2178at7742	protein SZT2
2178at7742	Duplicated	XP_043941347.1	4102.9	2608	https://www.orthodb.org/v10?query=2178at7742	protein SZT2
2461at7742	Complete	XP_043917159.1	5372.4	2591	https://www.orthodb.org/v10?query=2461at7742	ubiquitin carboxyl-terminal hydrolase 34
2503at7742	Complete	XP_043931740.1	4875.0	3012	https://www.orthodb.org/v10?query=2503at7742	lysosomal-trafficking regulator
2845at7742	Complete	XP_043943133.1	2584.0	2174	https://www.orthodb.org/v10?query=2845at7742	cilia- and flagella-associated protein 54
3022at7742	Duplicated	XP_043918862.1	4522.9	2539	https://www.orthodb.org/v10?query=3022at7742	huntingtin
3022at7742	Duplicated	XP_043918861.1	4515.7	2456	https://www.orthodb.org/v10?query=3022at7742	huntingtin
3022at7742	Duplicated	XP_043918860.1	4498.5	2600	https://www.orthodb.org/v10?query=3022at7742	huntingtin
3022at7742	Duplicated	XP_043918859.1	4491.6	2543	https://www.orthodb.org/v10?query=3022at7742	huntingtin
3190at7742	Complete	XP_043938838.1	3687.4	2273	https://www.orthodb.org/v10?query=3190at7742	zinc finger ZZ-type and EF-hand domain-containing protein 1
3764at7742	Complete	XP_043936192.1	3778.2	3522	https://www.orthodb.org/v10?query=3764at7742	abnormal spindle-like microcephaly-associated protein
4106at7742	Duplicated	XP_043919154.1	4493.7	2177	https://www.orthodb.org/v10?query=4106at7742	serine/threonine-protein kinase mTOR
4106at7742	Duplicated	XP_043919153.1	4493.7	2177	https://www.orthodb.org/v10?query=4106at7742	serine/threonine-protein kinase mTOR
4372at7742	Complete	XP_043927908.1	3661.8	2118	https://www.orthodb.org/v10?query=4372at7742	serine/threonine-protein kinase ATR
4443at7742	Complete	XP_043924837.1	4064.7	2298	https://www.orthodb.org/v10?query=4443at7742	translational activator GCN1
4577at7742	Complete	XP_043910810.1	4694.0	2005	https://www.orthodb.org/v10?query=4577at7742	pre-mRNA-processing-splicing factor 8
4900at7742	Complete	XP_043933635.1	2194.6	1779	https://www.orthodb.org/v10?query=4900at7742	spatacsin
5018at7742	Complete	XP_043934118.1	3055.4	1960	https://www.orthodb.org/v10?query=5018at7742	ectopic P granules protein 5 homolog
5095at7742	Complete	XP_043941443.1	4189.4	2117	https://www.orthodb.org/v10?query=5095at7742	ubiquitin carboxyl-terminal hydrolase 24
5422at7742	Duplicated	XP_043929757.1	3530.5	1818	https://www.orthodb.org/v10?query=5422at7742	HECT domain E3 ubiquitin protein ligase 1
5422at7742	Duplicated	XP_043929756.1	3509.0	1850	https://www.orthodb.org/v10?query=5422at7742	HECT domain E3 ubiquitin protein ligase 1
5422at7742	Duplicated	XP_043929755.1	3502.2	1850	https://www.orthodb.org/v10?query=5422at7742	HECT domain E3 ubiquitin protein ligase 1
5422at7742	Duplicated	XP_043929758.1	3499.2	1789	https://www.orthodb.org/v10?query=5422at7742	HECT domain E3 ubiquitin protein ligase 1
5422at7742	Duplicated	XP_043929759.1	3348.7	1749	https://www.orthodb.org/v10?query=5422at7742	HECT domain E3 ubiquitin protein ligase 1
5465at7742	Complete	XP_043936973.1	2815.7	1850	https://www.orthodb.org/v10?query=5465at7742	sortilin-related receptor
5520at7742	Duplicated	XP_043928554.1	3705.3	2488	https://www.orthodb.org/v10?query=5520at7742	serine-protein kinase ATM
